chrM	0	3575	16571	0.215738
chrM	1	5360	16571	0.323457
chrM	2	3841	16571	0.23179
chrM	3	2189	16571	0.132098
chrM	4	983	16571	0.0593205
chrM	5	429	16571	0.0258886
chrM	6	125	16571	0.0075433
chrM	7	42	16571	0.00253455
chrM	8	23	16571	0.00138797
chrM	9	4	16571	0.000241386
chr1	0	245362812	249250621	0.984402
chr1	1	3844082	249250621	0.0154226
chr1	2	41429	249250621	0.000166214
chr1	3	745	249250621	2.98896e-06
chr1	4	152	249250621	6.09828e-07
chr1	5	139	249250621	5.57672e-07
chr1	6	71	249250621	2.84854e-07
chr1	7	9	249250621	3.61082e-08
chr1	8	17	249250621	6.82044e-08
chr1	9	25	249250621	1.00301e-07
chr1	10	37	249250621	1.48445e-07
chr1	11	28	249250621	1.12337e-07
chr1	12	24	249250621	9.62886e-08
chr1	13	22	249250621	8.82646e-08
chr1	14	32	249250621	1.28385e-07
chr1	15	39	249250621	1.56469e-07
chr1	16	30	249250621	1.20361e-07
chr1	17	28	249250621	1.12337e-07
chr1	18	32	249250621	1.28385e-07
chr1	19	41	249250621	1.64493e-07
chr1	20	60	249250621	2.40722e-07
chr1	21	61	249250621	2.44734e-07
chr1	22	59	249250621	2.3671e-07
chr1	23	62	249250621	2.48746e-07
chr1	24	40	249250621	1.60481e-07
chr1	25	59	249250621	2.3671e-07
chr1	26	49	249250621	1.96589e-07
chr1	27	40	249250621	1.60481e-07
chr1	28	36	249250621	1.44433e-07
chr1	29	21	249250621	8.42525e-08
chr1	30	20	249250621	8.02405e-08
chr1	31	12	249250621	4.81443e-08
chr1	32	7	249250621	2.80842e-08
chr1	33	17	249250621	6.82044e-08
chr1	34	11	249250621	4.41323e-08
chr1	35	12	249250621	4.81443e-08
chr1	36	14	249250621	5.61684e-08
chr1	37	10	249250621	4.01203e-08
chr1	38	6	249250621	2.40722e-08
chr1	39	10	249250621	4.01203e-08
chr1	40	5	249250621	2.00601e-08
chr1	41	15	249250621	6.01804e-08
chr1	42	5	249250621	2.00601e-08
chr1	43	9	249250621	3.61082e-08
chr1	44	8	249250621	3.20962e-08
chr1	45	10	249250621	4.01203e-08
chr1	46	13	249250621	5.21563e-08
chr1	47	15	249250621	6.01804e-08
chr1	48	22	249250621	8.82646e-08
chr1	49	13	249250621	5.21563e-08
chr1	50	20	249250621	8.02405e-08
chr1	51	21	249250621	8.42525e-08
chr1	52	13	249250621	5.21563e-08
chr1	53	16	249250621	6.41924e-08
chr1	54	18	249250621	7.22165e-08
chr1	55	13	249250621	5.21563e-08
chr1	56	5	249250621	2.00601e-08
chr2	0	239451811	243199373	0.984591
chr2	1	3703548	243199373	0.0152284
chr2	2	36174	243199373	0.000148742
chr2	3	3008	243199373	1.23685e-05
chr2	4	1882	243199373	7.73851e-06
chr2	5	1201	243199373	4.93834e-06
chr2	6	620	243199373	2.54935e-06
chr2	7	392	243199373	1.61185e-06
chr2	8	241	243199373	9.90956e-07
chr2	9	152	243199373	6.25002e-07
chr2	10	109	243199373	4.48192e-07
chr2	11	29	243199373	1.19244e-07
chr2	12	78	243199373	3.20724e-07
chr2	13	63	243199373	2.59047e-07
chr2	14	13	243199373	5.34541e-08
chr2	15	13	243199373	5.34541e-08
chr2	16	3	243199373	1.23356e-08
chr2	17	2	243199373	8.22371e-09
chr2	18	4	243199373	1.64474e-08
chr2	19	3	243199373	1.23356e-08
chr2	20	2	243199373	8.22371e-09
chr2	21	5	243199373	2.05593e-08
chr2	22	20	243199373	8.22371e-08
chr3	0	195378740	198022430	0.98665
chr3	1	2624089	198022430	0.0132515
chr3	2	19406	198022430	9.7999e-05
chr3	3	80	198022430	4.03995e-07
chr3	4	3	198022430	1.51498e-08
chr3	6	6	198022430	3.02996e-08
chr3	7	1	198022430	5.04993e-09
chr3	8	1	198022430	5.04993e-09
chr3	9	3	198022430	1.51498e-08
chr3	10	4	198022430	2.01997e-08
chr3	11	2	198022430	1.00999e-08
chr3	12	1	198022430	5.04993e-09
chr3	13	3	198022430	1.51498e-08
chr3	14	2	198022430	1.00999e-08
